Experiment,Val_Loss,Val_IoU,Val_F1,Val_Recall,Val_Prec,Test_Loss,Test_IoU,Test_F1,Test_Recall,Test_Prec
Unet-efficientnet-b0-imagenet_Single-TB,5.843002441081595,0.40867408222340523,0.5737848148701039,0.6415044005880964,0.5589502802554597,6.6753724416097,0.2692788243293762,0.42430063088734943,0.3908851345380147,0.48673370480537415
Unet-efficientnet-b0-imagenet_Shift-TA_TC-to-TB_10pct,5.620158984110906,0.502825147830523,0.6446562959597661,0.7023450227884146,0.6178993147153121,6.485694408416748,0.3700026472409566,0.5347389976183573,0.6784116625785828,0.44977760314941406
Unet-efficientnet-b0-imagenet_Shift-TA_TB-to-TC_10pct,5.420808852764598,0.5791513501552114,0.7258683443069458,0.7770579666422125,0.6975599396647069,5.524914791709499,0.3772958219051361,0.5458452576085141,0.5864882594660709,0.510534753924922
