Experiment,Val_Loss,Val_IoU,Val_F1,Val_Recall,Val_Prec,Test_Loss,Test_IoU,Test_F1,Test_Recall,Test_Prec
Unet-resnet34-sobelmag_gabor_Single-TA,5.114953510796846,0.6967877291921359,0.8182315790831153,0.8318434508878794,0.8071328152471514,4.889150009836469,0.7515458634921482,0.8575592943600245,0.8695964166096278,0.8471124427659171
Unet-resnet34-sobelmag_gabor_Single-TB,6.015682271186342,0.4141522468404567,0.5729003960781909,0.7041595375284235,0.5104906463876684,6.497344493865967,0.3574232558409373,0.524917721748352,0.5234761337439219,0.5368716319402059
Unet-resnet34-sobelmag_gabor_Single-TC,5.945605857952221,0.3619827547588864,0.509401480893831,0.5450223184920646,0.5237607553198531,5.472622494948538,0.3836062534859306,0.552812795890005,0.6558323910361842,0.4996162229462674
Unet-resnet34-sobelmag_gabor_Multi-Domain,5.692399643904326,0.5260617811948258,0.6717384062855449,0.7279489255504102,0.6440920144911634,5.492757723881648,0.5551459957391788,0.6961312935902522,0.7289893688299717,0.67411574950585
Unet-resnet34-sobelmag_gabor_Shift-TA_TB-to-TC_10pct,5.520304508376539,0.5858043332894644,0.7294925733616477,0.7535658081372579,0.7217801234178376,6.150877049094753,0.24266744914807772,0.38251400935022456,0.32710698717518855,0.48377139631070587
Unet-resnet34-sobelmag_gabor_Shift-TA_TB-to-TC_100pct,5.40683106372231,0.5923612311221006,0.7353785654954743,0.7936743466477645,0.6971487047379477,6.537650222069509,0.27637441367716403,0.4221855165185155,0.4019353757033477,0.4840405976852855
Unet-resnet34-sobelmag_gabor_Shift-TA_TC-to-TB_10pct,5.611576392100408,0.5509118460691892,0.6864625593790641,0.7317979771357316,0.6693162620067596,6.424684047698975,0.3464781939983368,0.5108990967273712,0.5843726893266042,0.4912155270576477
Unet-resnet34-sobelmag_gabor_Shift-TA_TC-to-TB_100pct,5.631421162531926,0.5564027096216495,0.6950020171128787,0.7270408020569727,0.6865045668987128,6.454342829979073,0.288511308067936,0.44046211444725425,0.4981033574726622,0.4146847315764023
Unet-resnet34-sobelmag_gabor_Shift-TB_TC-to-TA_10pct,6.0661031518663675,0.3995161212625958,0.5595284544286274,0.5731718426658994,0.5770734193779173,5.506010273524693,0.6105314118521554,0.756071696962629,0.7286352140562875,0.7880591579845974
Unet-resnet34-sobelmag_gabor_Shift-TB_TC-to-TA_100pct,6.049506970814297,0.3896662099730401,0.5450233221054077,0.6171999233109611,0.5304938703775406,5.7730268942142455,0.5742613816473534,0.722489981870623,0.6598493235755037,0.8134519321628424
