Experiment,Frozen_Encoder,Val_Loss,Val_IoU,Val_F1,Val_Recall,Val_Prec,Test_Loss,Test_IoU,Test_F1,Test_Recall,Test_Prec
Unet-resnet34-imagenet-FE_Single-TA,True,0.7065881757593867,0.5941288506168407,0.679241164112229,0.7643215167734739,0.7600292135869625,0.6613662813391005,0.6284274550093077,0.7219090457549585,0.8199656522433673,0.7211580536133482
Unet-resnet34-imagenet-FE_Single-TB,True,0.837202750621958,0.359506100601804,0.4559653776823619,0.7012210751999998,0.5002400967566042,0.8868683750430743,0.26577108563051083,0.35874707410206214,0.580854955908146,0.36133433251655706
Unet-resnet34-imagenet-FE_Single-TC,True,0.9554515029933002,0.28146735906048725,0.3760748665174786,0.5384683499243303,0.4076801491243253,0.8328949307140551,0.3173362485299162,0.4331785632629406,0.7166673211674941,0.41405967368297086
Unet-resnet34-imagenet-FE_Multi-Domain,True,0.7974051758153549,0.44270414881884856,0.5381575005448328,0.7069761765537568,0.5905414517709654,0.7538937634000411,0.46200438123996335,0.5655395250747919,0.7422356811241213,0.5698139785937878
